Location name,Amount spent (AUD)
Australian Capital Territory,760
Jervis Bay Territory,≤100
New South Wales,19836
Norfolk Island,≤100
Northern Territory,266
Queensland,6639
South Australia,2671
Tasmania,1284
Unknown,≤100
Victoria,9177
Western Australia,3348
