Location name,Amount spent (IDR)
Aceh,1047212
Bali,2030157
Bangka–Belitung Islands,626270
Banten,2400644
Bengkulu,987204
Central Java,11192704
Central Kalimantan,974369
Central Sulawesi,1263282
East Java,11105159
East Kalimantan,1768792
East Nusa Tenggara,2546309
Gorontalo,765923
Jakarta,8207220
Jambi,1172012
Lampung,3937684
Maluku,721235
North Kalimantan,539399
North Maluku,641792
North Sulawesi,2604176
North Sumatra,4228969
Papua (province),921425
Riau,2258735
Riau Islands Province,1031763
South Kalimantan,2210814
South Sulawesi,4546481
South Sumatra,4248098
Southeast Sulawesi,1059285
Special Region of Yogyakarta,1300745
Unknown,13492
West Java,16596754
West Kalimantan,1554398
West Nusa Tenggara,1820229
West Papua,538759
West Sulawesi,675346
West Sumatra,2101056
