Location name,Amount spent (LBP)
Beirut Governorate,2282555
Beqaa Governorate,661654
Mount Lebanon Governorate,1518946
Nabatieh Governorate,315789
North Governorate,1127820
South Governorate,511278
Unknown,≤100
