Location name,Amount spent (PLN)
Greater Poland Voivodeship,4137
Kuyavian-Pomeranian Voivodeship,2457
Lesser Poland Voivodeship,4761
Lower Silesian Voivodeship,3494
Lublin Voivodeship,2096
Lubusz Voivodeship,954
Masovian Voivodeship,6875
Opole Voivodeship,902
Podkarpackie Voivodeship,1650
Podlaskie Voivodeship,1219
Pomeranian Voivodeship,2860
Silesian Voivodeship,5496
Unknown,≤100
Warmian-Masurian Voivodeship,1360
West Pomeranian Voivodeship,1914
Łódź Voivodeship,2819
Świętokrzyskie Voivodeship,1002
