Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,456
Basra Governorate,104
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,141
Erbil Governorate,243
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,121
Saladin Governorate,≤100
Sulaymaniyah Governorate,291
Unknown,≤100
Wasit Governorate,≤100
