Location name,Amount spent (USD)
Al Anbar Governorate,101
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,594
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,167
Erbil Governorate,325
Halabja Governorate,171
Karbala Governorate,≤100
Kirkuk Governorate,141
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,162
Nineveh Governorate,170
Saladin Governorate,≤100
Sulaymaniyah Governorate,330
Unknown,≤100
Wasit Governorate,≤100
