Location name,Amount spent (EUR)
Alsace,659
Aquitaine,1284
Auvergne,340
Basse-Normandie,389
Bourgogne,436
Bretagne,990
Centre,894
Champagne-Ardenne,325
Corse,180
Franche-Comté,286
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,756
Languedoc-Roussillon,1127
Limousin,192
Lorraine,669
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1017
New Caledonia,≤100
Nord-Pas-de-Calais,1194
Pays de la Loire,1091
Picardie,510
Poitou-Charentes,506
Provence-Alpes-Côte d'Azur,2117
Reunion Island,≤100
Rhône-Alpes,2075
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3631
