Location name,Amount spent (VND)
An Giang Province,4389
Bà Rịa–Vũng Tàu Province,6106
Bình Dương Province,6216
Bình Phước Province,3373
Bình Thuận Province,5010
Bình Định Province,6933
Bạc Liêu Province,1655
Bắc Giang Province,11111
Bắc Kạn Province,3698
Bắc Ninh Province,37866
Bến Tre Province,3199
Cao Bằng Province,106790
Cà Mau Province,1952
Cần Thơ,3686
Da Nang,6817
Gia Lai Province,4754
Haiphong,7681
Ho Chi Minh City,27123
Hà Giang Province,1200
Hà Nam Province,2825
Hà Tĩnh Province,11705
Hòa Bình Province,2384
Hưng Yên Province,3484
Hải Dương Province,10274
Hậu Giang Province,470
Khánh Hòa Province,5975
Kiên Giang Province,3340
Kon Tum Province,1459
Lai Châu Province,538
Long An Province,3264
Lào Cai Province,1664
Lâm Đồng Province,7288
Lạng Sơn Province,3787
Nam Định Province,9296
Nghệ An Province,22215
Ninh Bình Province,2524
Ninh Thuận Province,1701
Phú Thọ Province,7677
Phú Yên Province,4327
Quảng Bình Province,6629
Quảng Nam Province,7037
Quảng Ngãi Province,4808
Quảng Ninh Province,4675
Quảng Trị Province,3909
Sóc Trăng Province,2166
Sơn La Province,2975
Thanh Hóa Province,10098
Thái Bình Province,5372
Thái Nguyên Province,7716
Thừa Thiên–Huế Province,7375
Tiền Giang Province,4097
Trà Vinh Province,1936
Tuyên Quang Province,5165
Tây Ninh Province,3610
Vĩnh Long Province,2008
Vĩnh Phúc Province,4385
Yên Bái Province,2927
Điện Biên Province,1310
Đắk Lắk Province,91922
Đắk Nông Province,2410
Đồng Nai Province,13047
Đồng Tháp Province,3513
