Location name,Amount spent (PYG)
Alto Paraguay Department,9562
Alto Paraná Department,542950
Amambay Department,89448
Asunción,566608
Boquerón department,91790
Caaguazú Department,260464
Caazapá Department,149708
Canindeyú Department,91901
Central Department,1736842
Concepción Department (Paraguay),105113
Cordillera Department,170735
Guairá Department,85738
Itapúa Department,257558
Misiones Department,64427
Paraguarí Department,92730
Presidente Hayes Department,40581
San Pedro Department,164252
Unknown,1382
Ñeembucú Department,40707
