Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
102086362955693,Hacemos,Hacemos,4452356,31
364916637463104,Unión por la Patria,Unión por la Patria,1578408,13
120527421023470,Despierta Chubut,Despierta Chubut,1226338,118
116053261893854,Axel Kicillof,Unión por la Patria PBA,1121222,14
108401558977853,Hacemos por Nuestro País,Hacemos por Nuestro País,972115,9
1309393872434567,CFK Conducción,CFK Conducción,861565,10
110767322072387,Levantemos Argentina,Levantemos Argentina,768687,41
105735495551632,Nico Marchiolo,Nico Marchiolo,731262,5
1945555449050773,Frente Ciudadano,Frente Ciudadano,701852,9
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio,669444,521
103107652819753,Juntos Avancemos,Elijo Hacer Santa Fe,660840,30
100615406447198,Una Argentina Distinta,Una Argentina distinta,649617,22
525334380868858,Martín Lousteau,Juntos por el Cambio - Capital Federal,632272,59
206515872752040,Info-DINE,Secretaría de Medios y Comunicación Pública,532363,54
675523912809682,Tiempo de Provincia,Tiempo de Provincia,452672,12
610065179346397,NotiBaires,NotiBaires,431254,12
57718951374,Jorge Macri,JUNTOS POR EL CAMBIO DISTRITO CAPITAL FEDERAL A. P. - ALIANZA,417996,27
1651324754987038,InfoAires,InfoAires,357778,11
169481676449081,Adán Bahl,PJ Entre Ríos,347125,17
2251397431784810,InfoArgentina,InfoArgentina,338183,13
455934264436675,Rogelio Frigerio,Juntos por Entre Ríos,317682,53
1436040176529904,Noticias de Acá,Noticias de Acá,307948,13
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,263562,21
688001708286948,Juan Pablo Luque,Juan Pablo Luque,259487,22
20906273675,Greenpeace Argentina,Greenpeace Argentina,252116,5
174876119204869,Martín Insaurralde,PJ Lomas de Zamora,242151,7
171330806277312,Diego Santilli,Juntos por el Cambio,213704,121
171947460298026,Macarena Posse,San Isidro Juntos,206908,15
378374369659145,Zona Norte Noticias,Zona Norte Noticias,206245,9
248730858601074,Juan Andreotti,Frente Renovador San Fernando,203135,9
260217841057049,Consultora Tendencias,Consultora Tendencias,199035,18
101481752980291,Derecho al Futuro,Derecho al Futuro,191612,6
139780689504552,Frente de Izquierda,Frente de Izquierda,190744,101
111663178651819,Hagamos el Cambio de Nuestras Vidas,Hagamos el Cambio de Nuestras Vidas,181227,61
102191259342345,Pablo Cornet,Juntos Por Va,176516,26
108679841853325,Contame Más,Contame Más,176049,52
174545086044880,Gobierno de Santa Fe,Brote AD S.A.,166487,90
114158455004055,Arriba Chubut,Arriba Chubut,159268,4
896073793900056,Lalo Creus,Lalo Creus,157214,3
1577260858965529,Taller de inversiones en bolsa,These ads ran without a disclaimer,139959,5
114046241738745,Derecho al Pasado,Derecho al pasado,138013,8
305983009493637,Leonardo Grosso,Leonardo Grosso,134159,8
110276628358382,El Autónomo,El Autónomo,131631,50
