Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
107217383988190,מגזין אפוק,Epoch Magazine,3343,34
219091481560790,מרים פיירברג - איכר,נתניה אחת,3005,5
106057988971053,אלי כהן - Eli Cohen,אלי כהן - Eli Cohen,2771,13
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,2030,4
103851839280828,חופשי בארצנו - מטה המאבק,מטה המאבק - נלחמים על הדמוקרטיה,2016,24
141721971504,Histadrut - ההסתדרות החדשה,Histadrut - ההסתדרות החדשה,1974,8
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,1768,5
500238833397356,ציפי ברנד,ציפי ברנד,1740,26
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,1682,8
199381213757428,שי קינן - shai keinan,שי קינן - shai keinan,1517,9
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,1268,20
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,1218,7
204780362875106,מקור ראשון,מקור ראשון,1089,32
94258847306,האגודה לזכויות האזרח בישראל,האגודה לזכויות האזרח בישראל,1086,10
615531405455497,הדר לביא,הדר לביא,1039,11
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,1006,9
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,1000,38
1510157982620509,הלן גלבר - Helen Gelber,הלן גלבר - Helen Gelber,787,8
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,770,5
377161539406940,רפי סער,רפי סער,761,4
591336644556900,יגאל וינברגר - Igal Winbereger,יגאל וינברגר - Igal Winbereger,759,5
1073548259341247,לובי 99,לובי 99,748,2
2241550506131359,שמואל בוקסר,שמואל בוקסר,730,4
103085619445870,ניר ברכיה משרד עורכי דין,ניר ברכיה משרד עורכי דין,702,2
108979322204008,יוסי דגן - yosi dagan,יוסי דגן - yosi dagan,612,2
108787681841168,רישיון נשק בקליק,רישיון נשק בקליק,599,2
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",598,26
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,586,2
124894077550811,ישראל חופשית,ישראל חופשית,546,2
