Location name,Amount spent (PLN)
Greater Poland Voivodeship,7667
Kuyavian-Pomeranian Voivodeship,4299
Lesser Poland Voivodeship,7411
Lower Silesian Voivodeship,5971
Lublin Voivodeship,3645
Lubusz Voivodeship,2320
Masovian Voivodeship,13536
Opole Voivodeship,1993
Podkarpackie Voivodeship,3804
Podlaskie Voivodeship,2087
Pomeranian Voivodeship,5243
Silesian Voivodeship,9031
Unknown,≤100
Warmian-Masurian Voivodeship,3002
West Pomeranian Voivodeship,3819
Łódź Voivodeship,4941
Świętokrzyskie Voivodeship,2091
