Location name,Amount spent (EUR)
Alsace,914
Aquitaine,1516
Auvergne,439
Basse-Normandie,475
Bourgogne,518
Bretagne,1300
Centre,810
Champagne-Ardenne,476
Corse,152
Franche-Comté,343
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,657
Languedoc-Roussillon,1365
Limousin,253
Lorraine,866
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1136
New Caledonia,≤100
Nord-Pas-de-Calais,1363
Pays de la Loire,1157
Picardie,668
Poitou-Charentes,700
Provence-Alpes-Côte d'Azur,2424
Reunion Island,≤100
Rhône-Alpes,2674
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4298
