Location name,Amount spent (COP)
Amazonas,3143
Antioquia,5551228
Arauca,10744
Atlantico,120710
Bolivar,1168368
Boyaca,25625
Caldas,117329
Caqueta,17258
Casanare,17597
Cauca,131695
Cesar,44195
Choco,16603
Cordoba,51549
Cundinamarca,320794
Distrito Especial,2975564
Guainia,3921
Guaviare,2829
Huila,40011
La Guajira,33439
Magdalena,131070
Meta,94596
Narino,62689
Norte de Santander,94992
Putumayo,72518
Quindio,51222
Risaralda,271719
San Andres y Providencia,3015
Santander,260449
Sucre,28475
Tolima,107869
Unknown,≤100
Valle del Cauca,1019143
Vaupes,670
Vichada,1489
