Location name,Amount spent (INR)
Andaman and Nicobar Islands,367
Andhra Pradesh,76334
Arunachal Pradesh,2101
Assam,16429
Bihar,47938
Chandigarh,3597
Chhattisgarh,36397
Dadra and Nagar Haveli,1292
Delhi,69288
Goa,4293
Gujarat,65039
Haryana,43229
Himachal Pradesh,16342
Jammu and Kashmir,15816
Jharkhand,20026
Karnataka,824778
Kerala,24897
Lakshadweep,≤100
Madhya Pradesh,94226
Maharashtra,195298
Manipur,4449
Meghalaya,7767
Mizoram,953
Nagaland,1219
Odisha,20278
Puducherry,2772
Punjab region,68085
Rajasthan,148974
Sikkim,1382
Tamil Nadu,71334
Telangana,46895
Tripura,2641
Unknown,150
Uttar Pradesh,203975
Uttarakhand,13999
West Bengal,46736
