Location name,Amount spent (NZD)
Auckland Region,2965
Bay of Plenty Region,439
Canterbury,774
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,221
Manawatu-Wanganui,318
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,220
Otago,256
Southland,111
Taranaki,213
Tasman District,≤100
Unknown,≤100
Waikato,651
Wellington Region,559
West Coast,≤100
