Location name,Amount spent (CZK)
Central Bohemian Region,12781
Hradec Králové Region,5708
Karlovy Vary Region,3095
Liberec Region,4311
Moravian-Silesian Region,10925
Olomouc Region,5657
Pardubice Region,4856
Plzeň Region,6561
Prague,30249
South Bohemian Region,7588
South Moravian Region,14470
Unknown,≤100
Vysočina Region,4654
Zlín Region,6058
Ústí nad Labem Region,8236
