Location name,Amount spent (CZK)
Central Bohemian Region,35129
Hradec Králové Region,16366
Karlovy Vary Region,7712
Liberec Region,12559
Moravian-Silesian Region,33049
Olomouc Region,17605
Pardubice Region,14392
Plzeň Region,17270
Prague,69867
South Bohemian Region,17555
South Moravian Region,45085
Unknown,≤100
Vysočina Region,13061
Zlín Region,16009
Ústí nad Labem Region,22499
