Location name,Amount spent (COP)
Amazonas,2972
Antioquia,4218435
Arauca,43360
Atlantico,617224
Bolivar,385735
Boyaca,328311
Caldas,541400
Caqueta,69846
Casanare,88352
Cauca,227933
Cesar,158132
Choco,40233
Cordoba,182350
Cundinamarca,579041
Distrito Especial,3411637
Guainia,2384
Guaviare,10134
Huila,263556
La Guajira,81753
Magdalena,254683
Meta,297594
Narino,170617
Norte de Santander,246634
Putumayo,61837
Quindio,130802
Risaralda,929805
San Andres y Providencia,13559
Santander,381127
Sucre,107503
Tolima,293031
Unknown,619
Valle del Cauca,2742100
Vaupes,876
Vichada,1701
