Location name,Amount spent (GTQ)
Alta Verapaz Department,227
Baja Verapaz Department,≤100
Chimaltenango Department,146
Chiquimula Department,128
El Progreso Department,≤100
Escuintla Department,238
Guatemala Department,5100
Huehuetenango Department,304
Izabal Department,192
Jalapa Department,≤100
Jutiapa Department,165
Petén Department,132
Quetzaltenango Department,373
Quiché Department,182
Retalhuleu Department,109
Sacatepéquez Department,125
San Marcos Department,761
Santa Rosa Department,≤100
Sololá Department,115
Suchitepéquez Department,151
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,109
