Location name,Amount spent (EUR)
Alsace,508
Aquitaine,1086
Auvergne,343
Basse-Normandie,379
Bourgogne,412
Bretagne,950
Centre,663
Champagne-Ardenne,341
Corse,164
Franche-Comté,282
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,521
Languedoc-Roussillon,979
Limousin,182
Lorraine,648
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,905
New Caledonia,≤100
Nord-Pas-de-Calais,1312
Pays de la Loire,1358
Picardie,525
Poitou-Charentes,508
Provence-Alpes-Côte d'Azur,1775
Reunion Island,179
Rhône-Alpes,2048
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3973
