Location name,Amount spent (CAD)
Alberta,16952
British Columbia,14580
Manitoba,4096
New Brunswick,1528
Newfoundland and Labrador,952
Northwest Territories,≤100
Nova Scotia,2108
Nunavut,≤100
Ontario,32042
Prince Edward Island,1391
Quebec,27997
Saskatchewan,2479
Unknown,≤100
Yukon,≤100
