Location name,Amount spent (COP)
Amazonas,3854
Antioquia,4027511
Arauca,67049
Atlantico,523832
Bolivar,291318
Boyaca,156713
Caldas,234204
Caqueta,82126
Casanare,131273
Cauca,334242
Cesar,169123
Choco,42292
Cordoba,179765
Cundinamarca,535669
Distrito Especial,2264053
Guainia,2260
Guaviare,11208
Huila,232606
La Guajira,77719
Magdalena,229439
Meta,316768
Narino,199397
Norte de Santander,324747
Putumayo,47120
Quindio,141577
Risaralda,659776
San Andres y Providencia,11206
Santander,534558
Sucre,115183
Tolima,390620
Unknown,151
Valle del Cauca,1956618
Vaupes,1599
Vichada,1903
