Location name,Amount spent (EUR)
Blagoevgrad Province,953
Burgas Province,1386
Dobrich Province,780
Gabrovo Province,306
Haskovo Province,600
Kardzhali Province,451
Kyustendil Province,283
Lovech Province,309
Montana Province,310
Pazardzhik Province,608
Pernik Province,338
Pleven Province,931
Plovdiv Province,1883
Razgrad Province,762
Ruse Province,866
Shumen Province,484
Silistra Province,317
Sliven Province,885
Smolyan Province,319
Sofia City Province,4728
Sofia Province,625
Stara Zagora Province,1148
Targovishte Province,392
Unknown,≤100
Varna Province,1643
Veliko Tarnovo Province,763
Vidin Province,221
Vratsa Province,742
Yambol Province,316
