Location name,Amount spent (DKK)
Capital Region of Denmark,52360
Central Denmark Region,27514
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12167
Region of Southern Denmark,26033
Unknown,≤100
Zealand Region,16193
