Location name,Amount spent (RON)
Alba County,920
Arad County,753
Argeș County,1297
Bacău County,684
Bihor County,1061
Bistrița-Năsăud County,450
Botoșani County,524
Brașov County,888
Brăila County,481
Bucharest,3673
Buzău County,575
Caraș-Severin County,343
Cluj County,1410
Constanța County,1298
Covasna County,376
Călărași County,327
Dolj County,958
Dâmbovița County,592
Galați County,769
Giurgiu County,268
Gorj County,500
Harghita County,678
Hunedoara County,645
Ialomița County,259
Iași County,1082
Ilfov County,636
Maramureș County,665
Mehedinți County,288
Mureș County,1136
Neamț County,888
Olt County,415
Prahova County,1058
Satu Mare County,520
Sibiu County,700
Suceava County,784
Sălaj County,314
Teleorman County,330
Timiș County,1112
Tulcea County,241
Unknown,≤100
Vaslui County,367
Vrancea County,431
Vâlcea County,517
