Location name,Amount spent (MXN)
Aguascalientes,13419
Baja California,45163
Baja California Sur,3292
Campeche,23585
Chiapas,19264
Chihuahua,34381
Coahuila de Zaragoza,151078
Colima,3565
Distrito Federal,236265
Durango,9514
Guanajuato,32200
Guerrero,17220
Hidalgo,14515
Jalisco,111212
Michoacán de Ocampo,26036
Morelos,19449
Nayarit,5989
Nuevo León,90135
Oaxaca,11590
Puebla,29864
Querétaro Arteaga,20552
Quintana Roo,25333
San Luis Potosi,17290
Sinaloa,13504
Sonora,17359
State of Mexico,189657
Tabasco,10249
Tamaulipas,42352
Tlaxcala,11516
Unknown,≤100
Veracruz,40280
Yucatán,22161
Zacatecas,6168
