Location name,Amount spent (EGP)
Al Sharqia Governorate,1222
Alexandria Governorate,1071
Aswan Governorate,163
Asyut Governorate,401
Beheira Governorate,575
Beni Suef Governorate,239
Cairo Governorate,2473
Dakahlia Governorate,1297
Damietta Governorate,359
Faiyum Governorate,236
Gharbia Governorate,943
Giza Governorate,1140
Ismailia Governorate,206
Kafr el-Sheikh Governorate,487
Luxor Governorate,117
Matrouh Governorate,≤100
Minya Governorate,476
Monufia Governorate,586
New Valley Governorate,731
North Sinai Governorate,≤100
Port Said Governorate,188
Qalyubia Governorate,677
Qena Governorate,492
Red Sea Governorate,112
Sohag Governorate,499
South Sinai Governorate,≤100
Suez Governorate,128
Unknown,≤100
