Location name,Amount spent (USD)
Alabama,6909
Alaska,1983
American Samoa,≤100
Arizona,12100
Arkansas,4830
California,72765
Colorado,10804
Connecticut,6703
Delaware,1591
Florida,41315
Georgia,17106
Guam,≤100
Hawaii,2998
Idaho,5168
Illinois,21424
Indiana,13604
Iowa,7549
Kansas,4878
Kentucky,8162
Louisiana,9683
Maine,2652
Maryland,16175
Massachusetts,10246
Michigan,19419
Minnesota,14289
Mississippi,4459
Missouri,9883
Montana,2477
Nebraska,2724
Nevada,9210
New Hampshire,2429
New Jersey,18847
New Mexico,4330
New York,38005
North Carolina,16574
North Dakota,1715
Northern Mariana Islands,≤100
Ohio,16842
Oklahoma,6497
Oregon,9750
Pennsylvania,22455
Puerto Rico,≤100
Rhode Island,1328
South Carolina,8156
South Dakota,1191
Tennessee,11746
Texas,45929
Unknown,≤100
Utah,6803
Vermont,1344
Virgin Islands (U.S.),≤100
Virginia,23058
Washington,14054
"Washington, District of Columbia",9578
West Virginia,3338
Wisconsin,10481
Wyoming,1003
