Location name,Amount spent (EGP)
Al Sharqia Governorate,1498
Alexandria Governorate,1290
Aswan Governorate,209
Asyut Governorate,477
Beheira Governorate,732
Beni Suef Governorate,329
Cairo Governorate,4067
Dakahlia Governorate,1199
Damietta Governorate,370
Faiyum Governorate,365
Gharbia Governorate,1522
Giza Governorate,1667
Ismailia Governorate,441
Kafr el-Sheikh Governorate,624
Luxor Governorate,143
Matrouh Governorate,≤100
Minya Governorate,532
Monufia Governorate,846
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,204
Qalyubia Governorate,903
Qena Governorate,338
Red Sea Governorate,118
Sohag Governorate,602
South Sinai Governorate,≤100
Suez Governorate,151
Unknown,≤100
