Location name,Amount spent (PKR)
Azad Kashmir,328
Balochistan,591
Federally Administered Tribal Areas,≤100
Gilgit-Baltistan,202
Islamabad Capital Territory,2060
Khyber Pakhtunkhwa,3465
Punjab,16498
Sindh,7312
Unknown,≤100
