Location name,Amount spent (CAD)
Alberta,21337
British Columbia,15781
Manitoba,2187
New Brunswick,2061
Newfoundland and Labrador,819
Northwest Territories,104
Nova Scotia,2444
Nunavut,≤100
Ontario,41687
Prince Edward Island,295
Quebec,24898
Saskatchewan,2793
Unknown,≤100
Yukon,170
