Location name,Amount spent (PLN)
Greater Poland Voivodeship,4728
Kuyavian-Pomeranian Voivodeship,2746
Lesser Poland Voivodeship,3776
Lower Silesian Voivodeship,4165
Lublin Voivodeship,2065
Lubusz Voivodeship,1643
Masovian Voivodeship,7343
Opole Voivodeship,1119
Podkarpackie Voivodeship,1750
Podlaskie Voivodeship,1239
Pomeranian Voivodeship,3627
Silesian Voivodeship,5272
Unknown,≤100
Warmian-Masurian Voivodeship,1750
West Pomeranian Voivodeship,2917
Łódź Voivodeship,3090
Świętokrzyskie Voivodeship,1146
