Location name,Amount spent (USD)
Al Anbar Governorate,123
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,374
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,133
Erbil Governorate,314
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,121
Saladin Governorate,≤100
Sulaymaniyah Governorate,256
Unknown,≤100
Wasit Governorate,≤100
