Location name,Amount spent (AUD)
Australian Capital Territory,1421
Jervis Bay Territory,≤100
New South Wales,17089
Norfolk Island,≤100
Northern Territory,521
Queensland,14606
South Australia,5101
Tasmania,2378
Unknown,≤100
Victoria,15489
Western Australia,8271
