Location name,Amount spent (INR)
Andaman and Nicobar Islands,369
Andhra Pradesh,49887
Arunachal Pradesh,3324
Assam,36810
Bihar,88210
Chandigarh,4526
Chhattisgarh,123134
Dadra and Nagar Haveli,2834
Delhi,72253
Goa,4768
Gujarat,81571
Haryana,54539
Himachal Pradesh,21435
Jammu and Kashmir,23442
Jharkhand,34902
Karnataka,60196
Kerala,13207
Lakshadweep,≤100
Madhya Pradesh,287329
Maharashtra,174417
Manipur,663
Meghalaya,3088
Mizoram,4284
Nagaland,2000
Odisha,36472
Puducherry,2211
Punjab region,43466
Rajasthan,263716
Sikkim,2328
Tamil Nadu,52802
Telangana,96157
Tripura,4839
Unknown,247
Uttar Pradesh,197527
Uttarakhand,35455
West Bengal,90041
