Location name,Amount spent (EUR)
Alsace,524
Aquitaine,767
Auvergne,231
Basse-Normandie,263
Bourgogne,305
Bretagne,658
Centre,493
Champagne-Ardenne,243
Corse,≤100
Franche-Comté,207
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,518
Languedoc-Roussillon,819
Limousin,137
Lorraine,632
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,610
New Caledonia,≤100
Nord-Pas-de-Calais,1005
Pays de la Loire,802
Picardie,340
Poitou-Charentes,335
Provence-Alpes-Côte d'Azur,2227
Reunion Island,≤100
Rhône-Alpes,1294
Unknown,≤100
Île-de-France,2759
