Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,291
Apurímac Region,101
Arequipa Region,363
Ayacucho Region,154
Cajamarca Region,252
Callao,≤100
Cusco Region,311
Huancavelica Region,≤100
Huánuco Region,137
Ica Region,320
Junín Region,268
La Libertad Region,380
Lambayeque Region,258
Lima Region,2127
Loreto Region,101
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,338
Puno Region,337
San Martín Region,196
Tacna Region,126
Tumbes Region,≤100
Ucayali Region,122
Unknown,≤100
