Location name,Amount spent (IDR)
Aceh,908434
Bali,1369257
Bangka–Belitung Islands,323376
Banten,1654852
Bengkulu,599802
Central Java,6079221
Central Kalimantan,710522
Central Sulawesi,908199
East Java,8706117
East Kalimantan,2037916
East Nusa Tenggara,1839362
Gorontalo,559262
Jakarta,3987830
Jambi,947713
Lampung,1472930
Maluku,636045
North Kalimantan,305843
North Maluku,516341
North Sulawesi,1424873
North Sumatra,3203285
Papua (province),759899
Riau,1818571
Riau Islands Province,949947
South Kalimantan,1015161
South Sulawesi,3250734
South Sumatra,1800653
Southeast Sulawesi,697776
Special Region of Yogyakarta,1066842
Unknown,1599
West Java,7866364
West Kalimantan,1286595
West Nusa Tenggara,1231339
West Papua,404701
West Sulawesi,306117
West Sumatra,1217719
