Location name,Amount spent (LBP)
Beirut Governorate,3105117
Beqaa Governorate,844521
Mount Lebanon Governorate,1746269
Nabatieh Governorate,373134
North Governorate,1225566
South Governorate,655224
Unknown,≤100
