Page ID,Page name,Disclaimer,Amount spent (VEF),Number of ads in Library
150129451747062,Fundarte Alcaldia,an advertiser in Venezuela,3000000,1
112334968492772,cambiovuelve,These ads ran without a disclaimer,2500000,1
109025078823938,cambiovuelve,These ads ran without a disclaimer,2250000,1
101084619090775,Gonzalez10ana,an advertiser in Venezuela,905004,1
101304192456744,carososky,These ads ran without a disclaimer,735400,1
373096991909,AIDA,These ads ran without a disclaimer,565003,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,543600,2
102909028767557,Nabil Maalouf,an advertiser in Venezuela,500000,1
101233621344807,adrianaleota8law,These ads ran without a disclaimer,472502,1
82928774489,Panda Security,These ads ran without a disclaimer,307098,1
183818095119937,Aire Nuestro,These ads ran without a disclaimer,271800,1
115652281405063,mentalhealthwithkiara,These ads ran without a disclaimer,252501,1
107978317476310,Jmpapeleria.ve,These ads ran without a disclaimer,250000,1
108807998337182,Hospital Felino Madrid,These ads ran without a disclaimer,195673,1
117128387942371,Mar Rengifo,These ads ran without a disclaimer,44400,1
109234018766722,Arkad-03,These ads ran without a disclaimer,16767,1
633246560165629,Fujifilm Global,These ads ran without a disclaimer,13181,1
105416375854252,Yu-236,These ads ran without a disclaimer,≤100,1
17973644177,Global Peace Foundation,These ads ran without a disclaimer,≤100,1
100136949697500,Awp32,These ads ran without a disclaimer,≤100,1
107243372316613,C301-04,These ads ran without a disclaimer,≤100,1
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,1
103638442672203,Yout-008,These ads ran without a disclaimer,≤100,2
108843652138662,hazrathariz,These ads ran without a disclaimer,≤100,1
103992288141312,WingFoil Racing,These ads ran without a disclaimer,≤100,1
114459501556450,C301-16,These ads ran without a disclaimer,≤100,1
110251704784438,The Ashley Lashley Foundation,These ads ran without a disclaimer,≤100,1
101616782888805,Travel Away,These ads ran without a disclaimer,≤100,1
110214235350520,C301-11,These ads ran without a disclaimer,≤100,1
104444237650160,برنامج مع الرئيس,These ads ran without a disclaimer,≤100,1
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
