Location name,Amount spent (TRY)
Adana Province,5535
Adıyaman Province,410
Afyonkarahisar Province,2280
Aksaray Province,427
Amasya Province,404
Ankara Province,13721
Antalya Province,8788
Ardahan Province,≤100
Artvin Province,137
Aydın Province,1910
Ağrı Province,126
Balıkesir Province,3126
Bartın Province,145
Batman Province,588
Bayburt Province,≤100
Bilecik Province,442
Bingöl Province,224
Bitlis Province,318
Bolu Province,601
Burdur Province,676
Bursa Province,3851
Denizli Province,1582
Diyarbakır Province,1317
Düzce Province,1569
Edirne Province,8176
Elazığ Province,809
Erzincan Province,162
Erzurum Province,310
Eskişehir Province,1430
Gaziantep Province,2797
Giresun Province,711
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,1406
Isparta Province,1479
Istanbul Province,40578
Iğdır Province,≤100
Kahramanmaraş Province,853
Karabük Province,371
Karaman Province,623
Kars Province,≤100
Kastamonu Province,1596
Kayseri Province,2669
Kilis Province,272
Kocaeli Province,2020
Konya Province,4181
Kütahya Province,1114
Kırklareli Province,9380
Kırıkkale Province,639
Kırşehir Province,981
Malatya Province,960
Manisa Province,3551
Mardin Province,537
Mersin Province,5386
Muğla Province,1213
Muş Province,203
Nevşehir Province,607
Niğde Province,236
Ordu Province,705
Osmaniye Province,2206
Rize Province,365
Sakarya Province,820
Samsun Province,1407
Siirt Province,340
Sinop Province,208
Sivas Province,580
Tekirdağ Province,2716
Tokat Province,1290
Trabzon Province,2146
Tunceli Province,179
Unknown,≤100
Uşak Province,5568
Van Province,683
Yalova Province,362
Yozgat Province,287
Zonguldak Province,2331
Çanakkale Province,1288
Çankırı Province,145
Çorum Province,667
İzmir Province,6027
Şanlıurfa Province,1258
Şırnak Province,512
