Location name,Amount spent (CAD)
Alberta,8314
British Columbia,12768
Manitoba,1964
New Brunswick,1417
Newfoundland and Labrador,975
Northwest Territories,383
Nova Scotia,1648
Nunavut,226
Ontario,23663
Prince Edward Island,269
Quebec,14636
Saskatchewan,1804
Unknown,≤100
Yukon,126
