Location name,Amount spent (EGP)
Al Sharqia Governorate,3352
Alexandria Governorate,3726
Aswan Governorate,587
Asyut Governorate,1344
Beheira Governorate,1890
Beni Suef Governorate,982
Cairo Governorate,8034
Dakahlia Governorate,3772
Damietta Governorate,956
Faiyum Governorate,1240
Gharbia Governorate,2819
Giza Governorate,2428
Ismailia Governorate,688
Kafr el-Sheikh Governorate,1619
Luxor Governorate,350
Matrouh Governorate,137
Minya Governorate,1413
Monufia Governorate,2339
New Valley Governorate,171
North Sinai Governorate,212
Port Said Governorate,519
Qalyubia Governorate,2079
Qena Governorate,917
Red Sea Governorate,346
Sohag Governorate,1432
South Sinai Governorate,132
Suez Governorate,369
Unknown,≤100
