Location name,Amount spent (RON)
Alba County,543
Arad County,696
Argeș County,1202
Bacău County,833
Bihor County,719
Bistrița-Năsăud County,420
Botoșani County,613
Brașov County,741
Brăila County,470
Bucharest,3581
Buzău County,690
Caraș-Severin County,363
Cluj County,1441
Constanța County,1252
Covasna County,272
Călărași County,348
Dolj County,1411
Dâmbovița County,576
Galați County,901
Giurgiu County,296
Gorj County,557
Harghita County,514
Hunedoara County,644
Ialomița County,312
Iași County,1985
Ilfov County,412
Maramureș County,733
Mehedinți County,439
Mureș County,1207
Neamț County,787
Olt County,485
Prahova County,1033
Satu Mare County,551
Sibiu County,587
Suceava County,954
Sălaj County,341
Teleorman County,436
Timiș County,966
Tulcea County,274
Unknown,≤100
Vaslui County,537
Vrancea County,501
Vâlcea County,533
