Location name,Amount spent (JPY)
Aichi Prefecture,34898
Akita Prefecture,2733
Aomori Prefecture,4577
Chiba Prefecture,29322
Ehime Prefecture,5997
Fukui Prefecture,2585
Fukuoka Prefecture,51003
Fukushima Prefecture,6129
Gifu Prefecture,7640
Gunma Prefecture,7373
Hiroshima Prefecture,11288
Hokkaido,22006
Hyōgo Prefecture,25639
Ibaraki Prefecture,10977
Ishikawa Prefecture,4802
Iwate Prefecture,4627
Kagawa Prefecture,4694
Kagoshima Prefecture,4613
Kanagawa Prefecture,62424
Kumamoto Prefecture,7420
Kyoto Prefecture,17897
Kōchi Prefecture,1912
Mie Prefecture,6354
Miyagi Prefecture,15737
Miyazaki Prefecture,3963
Nagano Prefecture,7402
Nagasaki Prefecture,5714
Nara Prefecture,4709
Niigata Prefecture,6492
Okayama Prefecture,9392
Okinawa Prefecture,10634
Osaka Prefecture,51180
Saga Prefecture,3982
Saitama Prefecture,30150
Shiga Prefecture,6027
Shimane Prefecture,2057
Shizuoka Prefecture,14330
Tochigi Prefecture,6605
Tokushima Prefecture,2421
Tokyo,95151
Tottori Prefecture,1896
Toyama Prefecture,2914
Unknown,≤100
Wakayama Prefecture,4757
Yamagata Prefecture,4043
Yamaguchi Prefecture,4216
Yamanashi Prefecture,2699
Ōita Prefecture,5999
