Location name,Amount spent (DKK)
Capital Region of Denmark,31873
Central Denmark Region,18854
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8180
Region of Southern Denmark,16147
Unknown,≤100
Zealand Region,10704
