Location name,Amount spent (AOA)
Bengo Province,≤100
Benguela Province,5780
Bié Province,836
Cabinda Province,2349
Cuando Cubango Province,369
Cuanza Norte Province,517
Cuanza Sul Province,734
Cunene Province,383
Huambo Province,3039
Huíla Province,2692
Luanda Province,45358
Lunda Norte Province,833
Lunda Sul Province,838
Malanje Province,718
Moxico Province,652
Namibe Province,834
Unknown,≤100
Uíge Province,1221
Zaire Province,793
