Location name,Amount spent (VND)
An Giang Province,14488
Bà Rịa–Vũng Tàu Province,19203
Bình Dương Province,19618
Bình Phước Province,9287
Bình Thuận Province,14156
Bình Định Province,37931
Bạc Liêu Province,3694
Bắc Giang Province,45276
Bắc Kạn Province,4418
Bắc Ninh Province,60074
Bến Tre Province,7691
Cao Bằng Province,73617
Cà Mau Province,4694
Cần Thơ,11480
Da Nang,16565
Gia Lai Province,9927
Haiphong,24890
Ho Chi Minh City,150671
Hà Giang Province,2439
Hà Nam Province,7396
Hà Tĩnh Province,16597
Hòa Bình Province,5898
Hưng Yên Province,8861
Hải Dương Province,24964
Hậu Giang Province,2735
Khánh Hòa Province,15979
Kiên Giang Province,9144
Kon Tum Province,3368
Lai Châu Province,892
Long An Province,9482
Lào Cai Province,5327
Lâm Đồng Province,14314
Lạng Sơn Province,6934
Nam Định Province,19764
Nghệ An Province,68438
Ninh Bình Province,8878
Ninh Thuận Province,4205
Phú Thọ Province,16987
Phú Yên Province,8908
Quảng Bình Province,8361
Quảng Nam Province,16402
Quảng Ngãi Province,12639
Quảng Ninh Province,17868
Quảng Trị Province,8670
Sóc Trăng Province,6529
Sơn La Province,5283
Thanh Hóa Province,30262
Thái Bình Province,166011
Thái Nguyên Province,147551
Thừa Thiên–Huế Province,17558
Tiền Giang Province,12698
Trà Vinh Province,4841
Tuyên Quang Province,6463
Tây Ninh Province,12542
Vĩnh Long Province,7690
Vĩnh Phúc Province,11185
Yên Bái Province,6202
Điện Biên Province,2916
Đắk Lắk Province,92040
Đắk Nông Province,8855
Đồng Nai Province,35656
Đồng Tháp Province,10334
