Location name,Amount spent (MYR)
Johor,1718
Kedah,828
Kelantan,303
Kuala Lumpur,1024
Labuan,≤100
Malacca,222
Negeri Sembilan,252
Pahang,265
Penang,710
Perak,566
Perlis,≤100
Putrajaya,≤100
Sabah,482
Sarawak,409
Selangor,5750
Terengganu,293
Unknown,≤100
