Location name,Amount spent (AUD)
Australian Capital Territory,539
Jervis Bay Territory,≤100
New South Wales,20328
Northern Territory,201
Queensland,6892
South Australia,1954
Tasmania,989
Unknown,≤100
Victoria,7775
Western Australia,2862
