Location name,Amount spent (PEN)
Amazonas Region,136
Ancash Region,487
Apurímac Region,202
Arequipa Region,819
Ayacucho Region,362
Cajamarca Region,572
Callao,156
Cusco Region,622
Huancavelica Region,≤100
Huánuco Region,277
Ica Region,478
Junín Region,517
La Libertad Region,763
Lambayeque Region,444
Lima Region,3232
Loreto Region,378
Madre de Dios Region,162
Moquegua Region,119
Pasco Region,124
Piura Region,720
Puno Region,734
San Martín Region,396
Tacna Region,224
Tumbes Region,127
Ucayali Region,266
Unknown,≤100
