Location name,Amount spent (ZAR)
Eastern Cape,1036
Free State,570
Gauteng,4579
KwaZulu-Natal,1203
Limpopo,626
Mpumalanga,674
North West,436
Northern Cape,933
Unknown,≤100
Western Cape,6521
