Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
1395939193764858,Marcel Ciolacu,Partidul Social Democrat,7993,35
159027940804196,Consiliul Superior al Magistraturii,Complete media,2252,77
178362315106,European Parliament,European Parliament,2231,13
1208682419220715,Sorin Grindeanu,Partidul Social Democrat,1514,4
1549421062018459,Alexandru Petrescu,Partidul Social Democrat,1393,7
109260655301896,Dezvaluiri,Dezvaluiri,1207,2
207741001672,Speranta pentru Romania,Speranta pentru Romania,653,13
686190454826244,Declic,Declic,639,54
163943696987223,Ziarul Puterea,Ziarul Puterea,455,20
988607871174850,Grupul de Investigatii Politice,Grupul de Investigatii Politice,389,1
321890494859228,Vlad Gheorghe,GHEORGHE VLAD-DAN,344,19
123526378261795,Stiri Locale,Stiri Locale,318,2
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,316,6
376808162779895,Marius Tudor,Marius Tudor,296,4
1796777377209154,Regia Nationala a Padurilor - Romsilva,Regia Nationala a Padurilor - Romsilva,237,9
236215875884,Libertatea,Libertatea,221,2
557284874779877,Mihai Coteț,Mihai Cotet,219,1
1449284915381234,Ionel Bogdan,PNL Maramureş,213,2
200813406761691,Corina Cretu,Marina Alin-Constantin,212,4
113795383753850,Viorel Băltărețu,Cabinet Parlamentar Viorel Băltărețu USRPLUS Cluj,210,1
112664490103704,Salvăm România,Salvăm România,193,2
177708185581280,Erdélyi Magyar Néppárt,Erdélyi Magyar Szövetség,188,4
108295090637741,ASAP România,Fundatia The Institute,183,5
116634326439880,Mindcraft Stories,Mindcraft Stories,179,6
266790296879,Bloomberg,These ads ran without a disclaimer,158,1
1156150484398630,MozaiQ,MozaiQ,155,2
101340741758468,Radu Pescar,Pescar Radu Mircea,150,13
278318719032543,Barti Tihamér,Barti Tihamér,147,1
101643545586108,Alianța Pentru Patrie,Alianța Pentru Patrie,139,5
104484254797326,Laura Vicol,Deputat Laura Vicol,125,2
175293925828191,Kelemen Hunor,RMDSZ,117,2
1716269732025729,Stefan Popescu,Stefan Popescu,109,1
260365460647855,Mircea Geoana,Mircea Geoana,108,6
102603825860755,Moldova Invest,Moldova Invest,106,37
261202277284497,Theodor Paleologu,Ioana Prândurel,105,4
114319753592403,AFACERI.news,Horia-Marius Bogdan,101,2
104967311689835,Partidul Alianța Antreprenorilor și Agricultorilor,Partidul AAA,≤100,1
111433480759397,Gîdei Laurențiu Viorel,Laurentiu Viorel Gîdei,≤100,4
165467823513147,Alin Tișe,Alin Tișe,≤100,2
112599703659958,Green News,ASOCIATIA GREEN ACADEMY,≤100,2
1560147330888040,Winkler Gyula,Winkler Gyula,≤100,4
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,≤100,1
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,≤100,11
341671213143560,Ovidiu Florean,Ovidiu Florean,≤100,3
102791064640802,Ionuț Sorin Banciu,Ionut Banciu,≤100,2
100252252935644,APP Sector 2 - Daniel Mihaly,Alianta pentru Patrie Sector 2,≤100,1
110583568433497,Partidul Umanist Social Liberal PUSL Filiala Galați,Digital Fairy Studio SRL,≤100,13
101983854866860,DigiPres,DIGIPRES.RO,≤100,15
1602563209957356,PNL Bacău,Partidul Național Liberal,≤100,2
149371012371397,Newsweek Romania,Newsweek Romania,≤100,2
103412558241611,Tuhuț Radu Marcel,PSD Alba,≤100,2
106075378244914,Tomis Tv,Dorian Hapurnea,≤100,3
1161590740517881,Tomis News,Tomis News,≤100,4
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,≤100,3
181235723048,Romanian Angel Appeal,Romanian Angel Appeal,≤100,1
102601499822802,RMDSZ,RMDSZ,≤100,3
106390674573234,Vasile NAGY,Media Stream SRL,≤100,2
541786549285013,Saint-Gobain,Saint-Gobain,≤100,4
109556372802910,USR Dolj,USR Dolj,≤100,1
103640708229788,Laurențiu Marin,Laurentiu-Daniel Marin,≤100,3
107236228539491,Ion Belu,Ion Belu,≤100,1
105791877606395,Ioan Turcin,Florentin Iancu,≤100,1
341037705981172,Humanitas,Humanitas,≤100,2
181221645364365,Carmen Avram,Carmen Avram,≤100,2
110665943772240,Virgil Pirvulescu,Virgil Pirvulescu,≤100,1
135903460570651,OameniPutereRomania,Cornel Brad,≤100,7
