Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,624
Bicol Region,3413
Cagayan Valley,2543
Calabarzon,14729
Caraga,1903
Central Luzon,9613
Central Visayas,7118
Cordillera Administrative Region,1321
Davao Region,3021
Eastern Visayas,3403
Ilocos Region,3460
Metro Manila,28419
Mimaropa,2483
Northern Mindanao,3520
Soccsksargen,2437
Unknown,≤100
Western Visayas,6859
Zamboanga Peninsula,2173
