Location name,Amount spent (MXN)
Aguascalientes,24422
Baja California,52113
Baja California Sur,15501
Campeche,22347
Chiapas,35904
Chihuahua,47408
Coahuila de Zaragoza,30411
Colima,11948
Distrito Federal,175481
Durango,21741
Guanajuato,66739
Guerrero,24449
Hidalgo,29256
Jalisco,115981
Michoacán de Ocampo,50485
Morelos,47276
Nayarit,10748
Nuevo León,367993
Oaxaca,26490
Puebla,116470
Querétaro Arteaga,38981
Quintana Roo,81094
San Luis Potosi,38552
Sinaloa,24852
Sonora,26379
State of Mexico,122698
Tabasco,25889
Tamaulipas,58397
Tlaxcala,11415
Unknown,≤100
Veracruz,60144
Yucatán,86313
Zacatecas,21700
