Location name,Amount spent (USD)
Azuay Province,572
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,107
Chimborazo Province,217
Cotopaxi Province,171
El Oro Province,429
Esmeraldas Province,193
Galápagos Province,≤100
Guayas Province,2179
Imbabura Province,210
Loja Province,294
Los Ríos Province,330
Manabí Province,646
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,≤100
Pastaza Province,≤100
Pichincha Province,1712
Santa Elena Province,160
Santo Domingo de los Tsáchilas Province,271
Sucumbíos Province,≤100
Tungurahua Province,666
Unknown,≤100
Zamora-Chinchipe Province,≤100
