Location name,Amount spent (COP)
Amazonas,2204
Antioquia,4986728
Arauca,23307
Atlantico,686792
Bolivar,255625
Boyaca,696277
Caldas,380697
Caqueta,72737
Casanare,108416
Cauca,204577
Cesar,129003
Choco,36805
Cordoba,170329
Cundinamarca,290214
Distrito Especial,9532137
Guainia,594
Guaviare,6101
Huila,304681
La Guajira,57841
Magdalena,127526
Meta,203769
Narino,112440
Norte de Santander,295640
Putumayo,23105
Quindio,270094
Risaralda,661816
San Andres y Providencia,7443
Santander,344731
Sucre,75407
Tolima,167139
Unknown,≤100
Valle del Cauca,2555928
Vaupes,508
Vichada,551
