Location name,Amount spent (COP)
Amazonas,515
Antioquia,2062148
Arauca,41948
Atlantico,362003
Bolivar,181301
Boyaca,58932
Caldas,626275
Caqueta,75100
Casanare,39524
Cauca,339782
Cesar,71864
Choco,65723
Cordoba,68482
Cundinamarca,129968
Distrito Especial,879846
Guainia,184
Guaviare,29048
Huila,256482
La Guajira,17162
Magdalena,59882
Meta,310772
Narino,46966
Norte de Santander,131106
Putumayo,4723
Quindio,97153
Risaralda,472724
San Andres y Providencia,1617
Santander,804228
Sucre,36060
Tolima,551552
Unknown,≤100
Valle del Cauca,2927146
Vaupes,≤100
Vichada,244
