Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1157
Bicol Region,8146
Cagayan Valley,3422
Calabarzon,19257
Caraga,2656
Central Luzon,12238
Central Visayas,8107
Cordillera Administrative Region,1690
Davao Region,4608
Eastern Visayas,4352
Ilocos Region,4703
Metro Manila,27069
Mimaropa,3138
Northern Mindanao,5174
Soccsksargen,3926
Unknown,≤100
Western Visayas,11979
Zamboanga Peninsula,2935
