Location name,Amount spent (IDR)
Aceh,4324087
Bali,2960302
Bangka–Belitung Islands,508785
Banten,5629293
Bengkulu,917154
Central Java,17216210
Central Kalimantan,918119
Central Sulawesi,1386621
East Java,13896181
East Kalimantan,1834309
East Nusa Tenggara,1906796
Gorontalo,762076
Jakarta,18944791
Jambi,1252994
Lampung,5418174
Maluku,1821907
North Kalimantan,373053
North Maluku,581625
North Sulawesi,4530268
North Sumatra,7605077
Papua (province),846806
Riau,2919609
Riau Islands Province,1101157
South Kalimantan,1052996
South Sulawesi,8058975
South Sumatra,6241241
Southeast Sulawesi,955466
Special Region of Yogyakarta,1474736
Unknown,20155
West Java,20238373
West Kalimantan,1724731
West Nusa Tenggara,4189084
West Papua,461682
West Sulawesi,555086
West Sumatra,2904319
