Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
65929129383,Røde Kors,Røde Kors,7703,35
59143726810,Psykiatrifonden,Psykiatrifonden,6282,11
12787473132,Berlingske,Berlingske,3210,22
5624899398,Mellemfolkeligt Samvirke,Mellemfolkeligt Samvirke,3142,41
399210657232918,PlanBørnefonden,PlanBørnefonden,3128,22
38507331439,Danmarks Naturfredningsforening,Danmarks Naturfredningsforening,3103,23
72672361910,Børns Vilkår,Børns Vilkår,2957,14
167891603415958,Lederne,Lederne,2623,12
748887235210811,Obton Forvaltning A/S,Obton Forvaltning A/S,2593,18
55365680705,Greenpeace Danmark,Greenpeace Danmark,2398,32
17428770950,RÆSON,RÆSON,1680,2
138978072648,Dansk Vegetarisk Forening - DVF,Dansk Vegetarisk Forening - DVF,1322,3
116227401722605,Dansk Flygtningehjælp,Dansk Flygtningehjælp,1225,49
26458152911,SOS Børnebyerne,SOS Børnebyerne,1167,16
178362315106,European Parliament,European Parliament,1100,11
133707013355759,Danner,Danner,1080,1
126543540781090,Ældre Sagen,Ældre Sagen,1069,20
102154048301476,Lederstof.dk,Lederne,904,26
33588644626,World Animal Protection Danmark,World Animal Protection Danmark,859,4
304554445813,Videncentret Bolius,Bolius,770,3
369336273158091,Land of Hope,Land of Hope,646,10
41459763029,Socialdemokratiet,Socialdemokratiet,637,12
867877683280051,Weekendavisen,Weekendavisen,635,13
202627126417910,TAXA 4x35,Sammenslutningen Taxa 4x35,596,10
63691965101,UNICEF Danmark,UNICEF Danmark,594,2
246977185497434,Plastic Change,Plastic Change,584,21
36664432940,Amnesty International Danmark,Amnesty International Danmark,570,6
748887235210811,Obton Forvaltning A/S,Obton A/S,560,7
108041771950114,Danmarksdemokraterne,Danmarksdemokraterne,537,3
1507997959501973,Landbrug & Fødevarer,Landbrug & Fødevarer,535,1
109012749124622,3F - Gør dig stærkere.,3F - Danmarks Stærkeste Fagforening,483,14
287306323369,Børnecancerfonden,Børnecancerfonden,477,2
144965885963,Oxfam Danmark,Oxfam Danmark,443,10
529124290474705,Nikolaj Villumsen,Enhedslisten,429,1
350495955072656,Klimabevægelsen i Danmark,Klimabevægelsen i Danmark,422,8
276770505228,Folkekirkens Nødhjælp,Folkekirkens Nødhjælp,377,8
144098125661833,Nordea Invest,Nordea Invest,316,10
494902077334290,Tuborgfondet,Tuborgfondet,291,4
852608988134698,Tikko,Tikko,288,4
533315386692100,DRC - Danmarks Restauranter & Caféer,DRC - Danmarks Restauranter & Caféer,263,4
356520931077196,Europabevægelsen,Europabevægelsen,235,5
155596147784577,WWF Verdensnaturfonden,WWF Verdensnaturfonden,230,3
261599053881378,Fagbevægelsens Hovedorganisation,Fagbevægelsens Hovedorganisation,224,5
264009771074617,Niels Fuglsang,Niels Fuglsang,202,6
1522666927799763,BCG in Denmark,Boston Consulting Group,165,2
110560691837684,SolCompagniet,SolCompagniet,160,9
1684646181850363,TjekDet,TjekDet,156,1
246097715413231,Alkohol & Samfund,Alkohol & Samfund,144,5
115737371820702,DEO - Demokrati i Europa,DEO - Demokrati i Europa Oplysningsforbundet,142,2
437410226312057,Københavns Kommune,Københavns Kommune,125,2
154415494575789,IDA,IDA,119,2
153185491411799,CBS HD,These ads ran without a disclaimer,107,2
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,105,4
217135424459,Karen Blixen Museum,Karen Blixen Museum,105,2
113682151995658,Venstre i Varde kommune,Venstre i Varde kommune,≤100,2
808135809280401,historiskerejser.dk,Historiske Rejser ApS,≤100,3
167891603415958,Lederne,These ads ran without a disclaimer,≤100,1
517462625009133,Folketinget,Folketinget,≤100,2
257730662802548,Mission10forty,Mission10forty.org,≤100,5
1481743381888589,Jens Skov SF Egedal,SF Egedal,≤100,1
360787567740895,Volt Danmark,Volt Danmark,≤100,1
183887801641951,Verdens Skove,Verdens Skove,≤100,1
591683257511399,Sprøjtefri - Nej til sprøjtegifte i haven,VPU - Vandværkerne i Aarhus,≤100,1
74796954245,SF,SF,≤100,1
533374726861312,Kim Edberg Andersen,Nye Borgerlige,≤100,2
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,≤100,1
146956228206,Red Barnet Ungdom,Red Barnet Ungdom,≤100,1
314301147507,Astma-Allergi Danmark,Astma-Allergi Danmark,≤100,3
297422283612612,TotalEnergies,TotalEnergies,≤100,2
116061635098137,Karina Lorentzen Dehnhardt,SF,≤100,1
305932686202047,Caritas Danmark,Caritas Danmark,≤100,1
100747819389224,Master i Bæredygtigt Byggeri,These ads ran without a disclaimer,≤100,1
512096045573814,Diaspora Programme,These ads ran without a disclaimer,≤100,1
28159151157,FOF København,FOF København,≤100,1
108273171366317,Moderaterne,Moderaterne,≤100,1
103160762433020,Ester Esmarch KD,Ester Esmarch KD,≤100,1
482695791907139,Danske Vandværker,Danske Vandværker,≤100,1
106952222676974,Liberal Alliance,These ads ran without a disclaimer,≤100,1
141140922630894,RED Center,RED Center,≤100,1
101119311666891,Kystmuseet Bangsbo,These ads ran without a disclaimer,≤100,1
862049590591113,Lærerstandens Brandforsikring,Lærerstandens Brandforsikring,≤100,1
100263786205970,Job i Altiden,Altiden,≤100,1
100703956302973,Liberal Alliance - Favrskov,Liberal Alliance - Favrskov,≤100,1
671022293105597,Alex Vanopslagh,Alex Vanopslagh,≤100,2
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,23
713191148820633,Bauta Forsikring,Bauta Forsikring,≤100,1
820070458166704,Nicolai Sandager - Liberal Alliance,Nicolai Sandager - Liberal Alliance,≤100,5
107575374711850,SAGA DK,Saga,≤100,1
2319925761607995,Radio4,RADIO FM4 A/S,≤100,1
418179784893842,Enhedslisten Hillerød,Enhedslisten Hillerød,≤100,2
1037138983037629,Hjem til Alle alliancen,Hjem til Alle,≤100,1
111676898052590,Fredensborg Folkeuniversitet,Fredensborg Folkeuniversitet,≤100,1
100588538904188,Kim Andkjær Doberck Nye Borgerlige,Kim Andkjær Doberck Nye Borgerlige,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,1
550512865030230,Promissio,Promissio,≤100,2
1374723796115345,Glashütte Original,These ads ran without a disclaimer,≤100,1
101173452598541,Garryx R,These ads ran without a disclaimer,≤100,1
108341394952565,thytoemrerfirma,These ads ran without a disclaimer,≤100,1
