Location name,Amount spent (SEK)
Blekinge County,2554
Dalarna County,5518
Gotland County,1260
Gävleborg County,5968
Halland County,5370
Jämtland County,3349
Jönköping County,7111
Kalmar County,3777
Kronoberg County,3560
Norrbotten County,5009
Skåne County,27262
Stockholm County,56120
Södermanland County,6034
Unknown,≤100
Uppsala County,8132
Värmland County,5282
Västerbotten County,5870
Västernorrland County,4820
Västmanland County,5096
Västra Götaland County,35434
Örebro County,5898
Östergötland County,9857
