Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,116
Berane Municipality,≤100
Bijelo Polje Municipality,133
Budva Municipality,147
Danilovgrad Municipality,≤100
Herceg Novi Municipality,≤100
Kolašin Municipality,≤100
Nikšić Municipality,259
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,≤100
Plužine Municipality,≤100
Podgorica Capital City,825
Rožaje Municipality,≤100
Tivat Municipality,115
Ulcinj Municipality,119
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
